symbol,secVal,secAcq,avgPromoterPrice,currPrice,promoterholding,mfsell,pledged,epspositive
WELSPUNIND,470305721,11162529,42,49.1,68.89,False,False,True
TRIDENT,364793226,57514246,6,6.75,71.07,False,False,True
BAJAJ-AUTO,303996023,111800,2719,3053.15,53.69,False,False,True
ALEMBICLTD,270201340,4995145,54,83.6,69.57,False,False,True
QUESS,238279009,639188,372,371.3,55.28,False,False,True
NESCO,65942273,148346,444,523.6,68.53,False,False,True
KEC,60453354,193568,312,318.85,51.66,False,False,True
MEGH,28169096,417099,67,78.15,51.29,False,False,True
CHEMBOND,16651749,118909,140,168.8,65.35,False,False,True
THYROCARE,15171171,24772,612,788.0,66.04,False,False,True
BLS,12882304,163184,78,122.35,74.24,False,False,True
SOUTHWEST,12803113,623927,20,22.3,71.6,False,False,True
ULTRACEMCO,12425339,3295,3770,4187.8,60.04,False,False,True
